INEGI,Estado,Municipio,2018,2019
21204,Puebla,Yaonáhuac,PAN_PRD_PNA_PCP_PSI,PNA
21205,Puebla,Yehualtepec,PSI,MORENA_PT_PES
21206,Puebla,Zacapala,PRI_PVEM,PRI
21207,Puebla,Zacapoaxtla,PAN_PRD_PNA_PCP_PSI,MORENA_PT_PES
21208,Puebla,Zacatlán,PAN_PRD_PNA_PCP_PSI,PRI_PNA
21209,Puebla,Zapotitlán,PRI_PVEM,PRI
21210,Puebla,Zapotitlán de Méndez,PT,PRI
21211,Puebla,Zaragoza,PRI_PVEM,PVEM
21212,Puebla,Zautla,PAN_PRD_PNA_PCP_PSI,MORENA_PT_PES
21213,Puebla,Zihuateutla,MC,PRD_MC
21214,Puebla,Zinacatepec,PAN_PRD_PNA_PCP,MORENA_PT_PES
21215,Puebla,Zongozotla,PAN_PRD_PNA_PCP_MC_PSI,PVEM
21216,Puebla,Zoquiapan,PRI_PVEM,PRI
21217,Puebla,Zoquitlán,PAN_PRD_PNA_PCP,MORENA_PT_PES
22001,Queretaro,Amealco de Bonfil,PAN,PAN
22002,Queretaro,Pinal de Amoles,PAN,PRI_PVEM
22003,Queretaro,Arroyo Seco,PAN,PRI_PVEM
22004,Queretaro,Cadereyta de Montes,PAN,PAN_PRD
22005,Queretaro,Colón,PAN,PAN
22006,Queretaro,Corregidora,PAN,PAN_PRD_MC
22007,Queretaro,Ezequiel Montes,PRI,Morena_PT_PES
22008,Queretaro,Huimilpan,PAN,PAN_PRD
22009,Queretaro,Jalpan de Serra,PAN,PRI_PVEM
22010,Queretaro,Landa de Matamoros,PAN,PAN_PRD_MC
22011,Queretaro,El Marqués,PRI,PAN
22012,Queretaro,Pedro Escobedo,PRI,PAN_PRD
22013,Queretaro,Peñamiller,PAN,PNA
22014,Queretaro,Querétaro,PAN,PAN_PRD_MC
22015,Queretaro,San Joaquín,PRI,Independiente
22016,Queretaro,San Juan del Río,PAN,PAN
22017,Queretaro,Tequisquiapan,PVEM,Independiente
22018,Queretaro,Tolimán,PNA,PAN_PRD_MC
23001,Quintana_Roo,Cozumel,PAN_PRD,PRI_PVEM_PNA
23002,Quintana_Roo,Felipe Carrillo Puerto,PRI_PVEM_PNA,PAN_PRD_MC
23003,Quintana_Roo,Isla Mujeres,PRI_PVEM_PNA,PRI
23004,Quintana_Roo,Othón P. Blanco,PAN_PRD,PT_Morena
23005,Quintana_Roo,Benito Juárez,PRI_PVEM_PNA,PT_Morena
23006,Quintana_Roo,José María Morelos,PRI_PVEM_PNA,PAN_PRD_MC
23007,Quintana_Roo,Lázaro Cárdenas,PRI_PVEM_PNA,PT
23008,Quintana_Roo,Solidaridad,PAN_PRD,PT_Morena
23009,Quintana_Roo,Tulum,PRI_PVEM_PNA,PAN_PRD_MC
23010,Quintana_Roo,Bacalar,PRI_PVEM_PNA,PRI_PVEM_PNA
23011,Quintana_Roo,Puerto Morelos,PRI_PVEM_PNA,PRI_PVEM_PNA
24001,San_Luis_Potosi,Ahualulco,PRD_PT_PNA,PRD
24002,San_Luis_Potosi,Alaquines,PAN_PT,PRI
24003,San_Luis_Potosi,Aquismón,PRI_PVEM_PNA,PAN
24004,San_Luis_Potosi,Armadillo de los Infante,PRI_PVEM_PNA,PRI
24005,San_Luis_Potosi,Cárdenas,PAN_PT_MC,PNA
24006,San_Luis_Potosi,Catorce,PAN_PT,PAN
24007,San_Luis_Potosi,Cedral,PRI_PVEM,PES
24008,San_Luis_Potosi,Cerritos,PAN,PVEM
24009,San_Luis_Potosi,Cerro de San Pedro,PRI_PNA,PRI
24010,San_Luis_Potosi,Ciudad del Maíz,PRI_PVEM_PNA,PAN
24011,San_Luis_Potosi,Ciudad Fernández,PRI,PRD
24012,San_Luis_Potosi,Tancanhuitz,PRI_PVEM_PNA,PRD
24013,San_Luis_Potosi,Ciudad Valles,PRI_PVEM_PNA,Independiente
24014,San_Luis_Potosi,Coxcatlán,PRI_PVEM_PNA,MC
24015,San_Luis_Potosi,Charcas,PRI_PVEM_PNA,PVEM
24016,San_Luis_Potosi,Ebano,PAN,PAN
24017,San_Luis_Potosi,Guadalcázar,PRI_PNA,PRI
24018,San_Luis_Potosi,Huehuetlán,PVEM,PRI
24019,San_Luis_Potosi,Lagunillas,PRI_PNA,PT
24020,San_Luis_Potosi,Matehuala,PRI_PVEM_PNA,PVEM
24021,San_Luis_Potosi,Mexquitic de Carmona,PRD_MC,PRI
24022,San_Luis_Potosi,Moctezuma,PAN,PAN
24023,San_Luis_Potosi,Rayón,PAN,PCP
24024,San_Luis_Potosi,Rioverde,PAN,PAN
24025,San_Luis_Potosi,Salinas,PRI_PNA,PRI
24026,San_Luis_Potosi,San Antonio,PAN,PES
24027,San_Luis_Potosi,San Ciro de Acosta,PAN,PAN
24028,San_Luis_Potosi,San Luis Potosí,PRD_PT,PAN
24029,San_Luis_Potosi,San Martín Chalchicuautla,PRD_PT_PCP_MC,PAN
24030,San_Luis_Potosi,San Nicolás Tolentino,Morena,Morena
24031,San_Luis_Potosi,Santa Catarina,PRD_PT_MC_PNA,PVEM
24032,San_Luis_Potosi,Santa María del Río,PRI,PRI
24033,San_Luis_Potosi,Santo Domingo,PRI,PRI
24034,San_Luis_Potosi,San Vicente Tancuayalab,PAN,PRI
24035,San_Luis_Potosi,Soledad de Graciano Sánchez,PRD_PT,PRD
24036,San_Luis_Potosi,Tamasopo,PRI_PVEM_PNA,PRD
24037,San_Luis_Potosi,Tamazunchale,PRI_PNA,PAN
24038,San_Luis_Potosi,Tampacán,PRD,PRI
24039,San_Luis_Potosi,Tampamolón Corona,PNA,PNA
24040,San_Luis_Potosi,Tamuín,PRI_PVEM_PNA,Morena
24041,San_Luis_Potosi,Tanlajás,PRD_PCP,Morena
24042,San_Luis_Potosi,Tanquián de Escobedo,PRI,PRD
24043,San_Luis_Potosi,Tierra Nueva,PRI,MC
24044,San_Luis_Potosi,Vanegas,PRD,PVEM
24045,San_Luis_Potosi,Venado,PVEM,MC
24046,San_Luis_Potosi,Villa de Arriaga,PRI,PRI
24047,San_Luis_Potosi,Villa de Guadalupe,PRI,PRD
24048,San_Luis_Potosi,Villa de la Paz,PRI,PNA
24049,San_Luis_Potosi,Villa de Ramos,PRI,PRI
24050,San_Luis_Potosi,Villa de Reyes,PRI_PVEM,PRD
24051,San_Luis_Potosi,Villa Hidalgo,PRI_PVEM,PRI
24052,San_Luis_Potosi,Villa Juárez,PAN,PRI
24053,San_Luis_Potosi,Axtla de Terrazas,PAN_PT_MC,PRD
24054,San_Luis_Potosi,Xilitla,PAN,PAN
24055,San_Luis_Potosi,Zaragoza,PT_MC,PRI
24056,San_Luis_Potosi,Villa de Arista,PRI,PRI
24057,San_Luis_Potosi,Matlapa,PAN,PAN
24058,San_Luis_Potosi,El Naranjo,PAN,PNA
25001,Sinaloa,Ahome,PRI,PT_Morena_PES
25002,Sinaloa,Angostura,PAS,PRI_PVEM_PNA
25003,Sinaloa,Badiraguato,PRI,PRI_PVEM_PNA
25004,Sinaloa,Concordia,PRI,PRI_PVEM_PNA
25005,Sinaloa,Cosalá,PAS,PRI_PVEM_PNA
25006,Sinaloa,Culiacán,PRI,PT_Morena_PES
25007,Sinaloa,Choix,PAN,PT_Morena_PES
25008,Sinaloa,Elota,PRI,PRI_PVEM_PNA
25009,Sinaloa,Escuinapa,PRI,Morena
25010,Sinaloa,El Fuerte,PRI,PRI_PVEM_PNA
25011,Sinaloa,Guasave,PRI,PT_Morena_PES
25012,Sinaloa,Mazatlán,PAN,PT_Morena_PES
25013,Sinaloa,Mocorito,PAS,PAN_PRD_MC_PAS
25014,Sinaloa,Rosario,PAN,PAN_PRD_MC_PAS
25015,Sinaloa,Salvador Alvarado,PRI,PRI_PVEM_PNA
25016,Sinaloa,San Ignacio,PAS,PVEM
25017,Sinaloa,Sinaloa,PRI,PRI_PVEM_PNA
25018,Sinaloa,Navolato,PRI,PT_Morena_PES
26001,Sonora,Aconchi,PRI_PVEM_PNA,PRI_PVEM_PNA
26002,Sonora,Agua Prieta,PAN,Morena_PT_PES
26003,Sonora,Alamos,PRI_PVEM_PNA,PRI_PVEM_PNA
26004,Sonora,Altar,PRI_PVEM_PNA,PRI_PVEM_PNA
26005,Sonora,Arivechi,PRI_PVEM_PNA,PRI_PVEM_PNA
26006,Sonora,Arizpe,PRI_PVEM_PNA,PRI_PVEM_PNA
26007,Sonora,Atil,MC,MC
26008,Sonora,Bacadéhuachi,MC,Morena_PT_PES
26009,Sonora,Bacanora,PVEM,PAN_PRD
26010,Sonora,Bacerac,PAN,PRI_PVEM_PNA
26011,Sonora,Bacoachi,PRI_PVEM_PNA,PRI
26012,Sonora,Bácum,PRD,Morena_PT_PES
26013,Sonora,Banámichi,PRI_PVEM_PNA,PRI_PVEM_PNA
26014,Sonora,Baviácora,PAN,PAN_PRD
26015,Sonora,Bavispe,PRI_PVEM_PNA,PRI_PVEM_PNA
26016,Sonora,Benjamín Hill,PRI_PVEM_PNA,Morena_PT_PES
26017,Sonora,Caborca,PRI,Morena_PT_PES
26018,Sonora,Cajeme,PRI_PVEM_PNA,Morena_PT_PES
26019,Sonora,Cananea,PRI_PVEM_PNA,Independiente
26020,Sonora,Carbó,PAN,PRI_PVEM_PNA
26021,Sonora,La Colorada,PRD,PRI_PVEM_PNA
26022,Sonora,Cucurpe,PAN,PAN_PRD
26023,Sonora,Cumpas,PNA,PNA
26024,Sonora,Divisaderos,PRI_PVEM_PNA,PRI_PVEM_PNA
26025,Sonora,Empalme,PRI,Morena_PT_PES
26026,Sonora,Etchojoa,PRI_PVEM_PNA,Morena_PT_PES
26027,Sonora,Fronteras,PRI,PRI_PVEM_PNA
26028,Sonora,Granados,PRI,PRI_PVEM_PNA
26029,Sonora,Guaymas,PAN,Morena_PT_PES
26030,Sonora,Hermosillo,PRI_PVEM_PNA,Morena_PT_PES
26031,Sonora,Huachinera,PAN,PRI
26032,Sonora,Huásabas,PRI,PRI_PVEM_PNA
26033,Sonora,Huatabampo,PRI_PVEM_PNA,PAN_PRD
26034,Sonora,Huépac,PAN,PRI_PVEM_PNA
26035,Sonora,Imuris,PAN,Morena_PT_PES
26036,Sonora,Magdalena,PRI_PVEM_PNA,PAN_PRD
26037,Sonora,Mazatán,PRI_PVEM_PNA,PAN_PRD
26038,Sonora,Moctezuma,PRI_PVEM_PNA,PRI_PVEM_PNA
26039,Sonora,Naco,PAN,PRI_PVEM_PNA
26040,Sonora,Nácori Chico,PAN,MC
26041,Sonora,Nacozari de García,PRI_PVEM_PNA,PAN_PRD
26042,Sonora,Navojoa,PAN,Morena_PT_PES
26043,Sonora,Nogales,PAN,Morena_PT_PES
26044,Sonora,Onavas,PAN,PRI_PVEM_PNA
26045,Sonora,Opodepe,PAN,PRI_PVEM_PNA
26046,Sonora,Oquitoa,PRI,PRI
26047,Sonora,Pitiquito,PRI_PVEM_PNA,PRI_PVEM_PNA
26048,Sonora,Puerto Peñasco,PAN,PAN_PRD
26049,Sonora,Quiriego,PAN,Morena_PT_PES
26050,Sonora,Rayón,PRI_PVEM_PNA,PRI_PVEM_PNA
26051,Sonora,Rosario,PRI_PVEM_PNA,PRI_PVEM_PNA
26052,Sonora,Sahuaripa,PRI_PVEM_PNA,PRI_PVEM_PNA
26053,Sonora,San Felipe de Jesús,PAN,PAN_PRD
26054,Sonora,San Javier,PRI,PRI_PVEM_PNA
26055,Sonora,San Luis Río Colorado,PAN,Morena_PT_PES
26056,Sonora,San Miguel de Horcasitas,PAN,PRI_PVEM_PNA
26057,Sonora,San Pedro de la Cueva,PRI,PRI_PVEM_PNA
26058,Sonora,Santa Ana,PRI_PVEM_PNA,PRI_PVEM_PNA
26059,Sonora,Santa Cruz,PAN,PRI_PVEM_PNA
26060,Sonora,Sáric,PVEM,PRI_PVEM_PNA
26061,Sonora,Soyopa,PAN,Morena_PT_PES
26062,Sonora,Suaqui Grande,PRI,PAN_PRD
26063,Sonora,Tepache,PAN,PAN_PRD
26064,Sonora,Trincheras,PRI_PVEM_PNA,PRI_PVEM_PNA
26065,Sonora,Tubutama,PRI,PRI_PVEM_PNA
26066,Sonora,Ures,PRI_PVEM_PNA,PAN_PRD
26067,Sonora,Villa Hidalgo,MC,MAS
26068,Sonora,Villa Pesqueira,PRI_PVEM_PNA,PRI_PVEM_PNA
26069,Sonora,Yécora,PRI_PVEM_PNA,PRI_PVEM_PNA
26070,Sonora,General Plutarco Elías Calles,MC,MC
26071,Sonora,Benito Juárez,PRI,Morena_PT_PES
26072,Sonora,San Ignacio Río Muerto,PRI,Morena_PT_PES
27001,Tabasco,Balancán,PRD_PVEM,Morena
27002,Tabasco,Cárdenas,PRD_PVEM,PT_Morena
27003,Tabasco,Centla,PRI,Morena
27004,Tabasco,Centro,PRD_PT,PT_Morena
27005,Tabasco,Comalcalco,Morena,Morena
27006,Tabasco,Cunduacán,PRD,PT_Morena
27007,Tabasco,Emiliano Zapata,PVEM,PVEM
27008,Tabasco,Huimanguillo,PRD,Morena
27009,Tabasco,Jalapa,PRD_PVEM,Morena
27010,Tabasco,Jalpa de Méndez,PRD_PVEM,Morena
27011,Tabasco,Jonuta,PRD_PVEM,PAN_PRD_MC
27012,Tabasco,Macuspana,PRI,Morena
27013,Tabasco,Nacajuca,PAN,Morena
27014,Tabasco,Paraíso,PRD_PVEM,Morena
27015,Tabasco,Tacotalpa,PRI,Morena
27016,Tabasco,Teapa,PVEM,PT_Morena
27017,Tabasco,Tenosique,PRI,Morena
28001,Tamaulipas,Abasolo,PRI_PVEM_PNA,PRI
28002,Tamaulipas,Aldama,PRI_PVEM_PNA,PAN_PRD_MC
28003,Tamaulipas,Altamira,PAN,PAN_PRD_MC
28004,Tamaulipas,Antiguo Morelos,PAN,PAN_PRD_MC
28005,Tamaulipas,Burgos,PAN,PAN
28006,Tamaulipas,Bustamante,PRI_PVEM_PNA,PRI
28007,Tamaulipas,Camargo,PRI_PVEM_PNA,PAN_PRD_MC
28008,Tamaulipas,Casas,PAN,PAN
28009,Tamaulipas,Ciudad Madero,PAN,PT_Morena_PES
28010,Tamaulipas,Cruillas,PRI_PVEM_PNA,PT_Morena_PES
28011,Tamaulipas,Gómez Farías,PAN,PAN
28012,Tamaulipas,González,PAN,PAN
28013,Tamaulipas,Güémez,PAN,PT_Morena_PES
28014,Tamaulipas,Guerrero,PAN,PRI
28015,Tamaulipas,Gustavo Díaz Ordaz,PES,PT_Morena_PES
28016,Tamaulipas,Hidalgo,PAN,PAN_PRD_MC
28017,Tamaulipas,Jaumave,Independiente,PAN
28018,Tamaulipas,Jiménez,PRI_PVEM_PNA,PAN
28019,Tamaulipas,Llera,Independiente,Independiente
28020,Tamaulipas,Mainero,PAN,PAN_PRD_MC
28021,Tamaulipas,El Mante,PAN,PAN
28022,Tamaulipas,Matamoros,PRI_PVEM_PNA,PT_Morena_PES
28023,Tamaulipas,Méndez,PAN,PAN
28024,Tamaulipas,Mier,PAN,PAN
28025,Tamaulipas,Miguel Alemán,PAN,PRI
28026,Tamaulipas,Miquihuana,PRI_PVEM_PNA,PAN
28027,Tamaulipas,Nuevo Laredo,PAN,PAN_PRD_MC
28028,Tamaulipas,Nuevo Morelos,PRI_PVEM_PNA,PAN
28029,Tamaulipas,Ocampo,PRI_PVEM_PNA,PAN
28030,Tamaulipas,Padilla,PAN,PAN
28031,Tamaulipas,Palmillas,PRI_PVEM_PNA,PAN
28032,Tamaulipas,Reynosa,PAN,PAN_PRD_MC
28033,Tamaulipas,Río Bravo,PRI_PVEM_PNA,PAN_PRD_MC
28034,Tamaulipas,San Carlos,PAN,PRI
28034,Tamaulipas,San Carlos,PAN,PRI
28035,Tamaulipas,San Fernando,PAN,PAN_PRD_MC
28036,Tamaulipas,San Nicolás,PRI,PRI
28037,Tamaulipas,Soto la Marina,PAN,PAN_PRD_MC
28038,Tamaulipas,Tampico,PRI_PVEM_PNA,PAN_PRD_MC
28039,Tamaulipas,Tula,PAN,PAN
28040,Tamaulipas,Valle Hermoso,PRI_PVEM_PNA,PAN_PRD_MC
28041,Tamaulipas,Victoria,PRI_PVEM_PNA,PAN_PRD_MC
28042,Tamaulipas,Villagrán,PAN,PAN
28043,Tamaulipas,Xicoténcatl,PAN,PAN_PRD_MC
29001,Tlaxcala,Amaxac de Guerrero,PVEM,PVEM
29002,Tlaxcala,Apetatitlán de Antonio Carvajal,PRD,PRD
29003,Tlaxcala,Atlangatepec,PRI,PRI
29004,Tlaxcala,Atltzayanca,PRI,PRI
29005,Tlaxcala,Apizaco,PAN,PAN
29006,Tlaxcala,Calpulalpan,PES,PES
29007,Tlaxcala,El Carmen Tequexquitla,PRI,PRI
29008,Tlaxcala,Cuapiaxtla,PVEM,PVEM
29009,Tlaxcala,Cuaxomulco,PAC,PAC
29010,Tlaxcala,Chiautempan,PRI_PVEM,PRI_PVEM
29011,Tlaxcala,Muñoz de Domingo Arenas,PRI,PRI
29012,Tlaxcala,Españita,PRI,PRI
29013,Tlaxcala,Huamantla,PRI,PRI
29014,Tlaxcala,Hueyotlipan,PT,PT
29015,Tlaxcala,Ixtacuixtla de Mariano Matamoros,PRI,PRI
29016,Tlaxcala,Ixtenco,PES,PES
29017,Tlaxcala,Mazatecochco de José María Morelos,Independiente,Independiente
29018,Tlaxcala,Contla de Juan Cuamatzi,PRD,PRD
29019,Tlaxcala,Tepetitla de Lardizábal,PAN,PAN
29020,Tlaxcala,Sanctórum de Lázaro Cárdenas,PAN,PAN
29021,Tlaxcala,Nanacamilpa de Mariano Arista,PRI_PS,PRI_PS
29022,Tlaxcala,Acuamanala de Miguel Hidalgo,PRD_PT,PRD_PT
29023,Tlaxcala,Natívitas,PAC,PAC
29024,Tlaxcala,Panotla,PRD,PRD
29025,Tlaxcala,San Pablo del Monte,PAN,PAN
29026,Tlaxcala,Santa Cruz Tlaxcala,Independiente,Independiente
29027,Tlaxcala,Tenancingo,PRD,PRD
29028,Tlaxcala,Teolocholco,PRI_PVEM,PRI_PVEM
29029,Tlaxcala,Tepeyanco,PRI,PRI
29030,Tlaxcala,Terrenate,PT,PT
29031,Tlaxcala,Tetla de la Solidaridad,PAN,PAN
29032,Tlaxcala,Tetlatlahuca,PVEM,PVEM
29033,Tlaxcala,Tlaxcala,PRI_PVEM_PNA_PS,PRI_PVEM_PNA_PS
29034,Tlaxcala,Tlaxco,PRI,PRI
29035,Tlaxcala,Tocatlán,PT,PT
29036,Tlaxcala,Totolac,PRD,PRD
29037,Tlaxcala,Ziltlaltépec de Trinidad Sánchez Santos,PAN,PAN
29038,Tlaxcala,Tzompantepec,PAC,PAC
29039,Tlaxcala,Xaloztoc,PRD,PRD
29040,Tlaxcala,Xaltocan,PAC,PAC
29041,Tlaxcala,Papalotla de Xicohténcatl,PRI_PVEM,PRI_PVEM
29042,Tlaxcala,Xicohtzinco,PRD,PRD
29043,Tlaxcala,Yauhquemehcan,PAN,PAN
29044,Tlaxcala,Zacatelco,PRD_PT,PRD_PT
29045,Tlaxcala,Benito Juárez,PRD,PRD
29046,Tlaxcala,Emiliano Zapata,PRI_PVEM,PRI_PVEM
29047,Tlaxcala,Lázaro Cárdenas,PVEM,PVEM
29048,Tlaxcala,La Magdalena Tlaltelulco,PT,PT
29049,Tlaxcala,San Damián Texóloc,PRD,PRD
29050,Tlaxcala,San Francisco Tetlanohcan,PRI,PRI
29051,Tlaxcala,San Jerónimo Zacualpan,PRI_PVEM_PNA,PRI_PVEM_PNA
29052,Tlaxcala,San José Teacalco,PRI,PRI
29053,Tlaxcala,San Juan Huactzinco,PS,PS
29054,Tlaxcala,San Lorenzo Axocomanitla,PAN,PAN
29055,Tlaxcala,San Lucas Tecopilco,MC,MC
29056,Tlaxcala,Santa Ana Nopalucan,PS,PS
29057,Tlaxcala,Santa Apolonia Teacalco,PNA,PNA
29058,Tlaxcala,Santa Catarina Ayometla,PAN,PAN
29059,Tlaxcala,Santa Cruz Quilehtla,PNA,PNA
29060,Tlaxcala,Santa Isabel Xiloxoxtla,PRI,PRI
30001,Veracruz,Acajete,PRI_PVEM,PRI_PVEM
30002,Veracruz,Acatlán,PRI_PVEM,PRI_PVEM
30003,Veracruz,Acayucan,PAN_PRD,PAN_PRD
30004,Veracruz,Actopan,PAN_PRD,PAN_PRD
30005,Veracruz,Acula,PRI_PVEM,PRI_PVEM
30006,Veracruz,Acultzingo,PES,PES
30007,Veracruz,Camarón de Tejeda,MC,MC
30008,Veracruz,Alpatláhuac,PAN_PRD,PAN_PRD
30009,Veracruz,Alto Lucero de Gutiérrez Barrios,PNA,PNA
30010,Veracruz,Altotonga,MC,MC
30011,Veracruz,Alvarado,PRI_PVEM,PRI_PVEM
30012,Veracruz,Amatitlán,PT,PT
30013,Veracruz,Naranjos Amatlán,PNA,PNA
30014,Veracruz,Amatlán de los Reyes,PAN_PRD,PAN_PRD
30015,Veracruz,Angel R. Cabada,PAN_PRD,PAN_PRD
30016,Veracruz,La Antigua,PAN_PRD,PAN_PRD
30017,Veracruz,Apazapan,PAN_PRD,PAN_PRD
30018,Veracruz,Aquila,PVEM,PVEM
30019,Veracruz,Astacinga,PNA,PNA
30020,Veracruz,Atlahuilco,Morena,Morena
30021,Veracruz,Atoyac,PNA,PNA
30022,Veracruz,Atzacan,PVEM,PVEM
30023,Veracruz,Atzalan,PRI_PVEM,PRI_PVEM
30024,Veracruz,Tlaltetela,PRI_PVEM,PRI_PVEM
30025,Veracruz,Ayahualulco,PRI_PVEM,PRI_PVEM
30026,Veracruz,Banderilla,PAN_PRD,PAN_PRD
30027,Veracruz,Benito Juárez,PAN_PRD,PAN_PRD
30028,Veracruz,Boca del Río,PAN_PRD,PAN_PRD
30029,Veracruz,Calcahualco,PRI_PVEM,PRI_PVEM
30030,Veracruz,Camerino Z. Mendoza,PAN_PRD,PAN_PRD
30031,Veracruz,Carrillo Puerto,PAN_PRD,PAN_PRD
30032,Veracruz,Catemaco,PAN_PRD,PAN_PRD
30033,Veracruz,Cazones de Herrera,PAN_PRD,PAN_PRD
30034,Veracruz,Cerro Azul,MC,MC
30035,Veracruz,Citlaltépetl,PAN_PRD,PAN_PRD
30036,Veracruz,Coacoatzintla,PRI_PVEM,PRI_PVEM
30037,Veracruz,Coahuitlán,Independiente,Independiente
30038,Veracruz,Coatepec,PAN_PRD,PAN_PRD
30039,Veracruz,Coatzacoalcos,Morena,Morena
30040,Veracruz,Coatzintla,PAN_PRD,PAN_PRD
30041,Veracruz,Coetzala,PNA,PNA
30042,Veracruz,Colipa,PAN_PRD,PAN_PRD
30043,Veracruz,Comapa,PRI,PRI
30044,Veracruz,Córdoba,PAN_PRD,PAN_PRD
30045,Veracruz,Cosamaloapan de Carpio,PAN_PRD,PAN_PRD
30046,Veracruz,Cosautlán de Carvajal,PAN_PRD,PAN_PRD
30047,Veracruz,Coscomatepec,PAN_PRD,PAN_PRD
30048,Veracruz,Cosoleacaque,PRI_PVEM,PRI_PVEM
30049,Veracruz,Cotaxtla,PAN_PRD,PAN_PRD
30050,Veracruz,Coxquihui,PAN_PRD,PAN_PRD
30051,Veracruz,Coyutla,PRI_PVEM,PRI_PVEM
30052,Veracruz,Cuichapa,PAN_PRD,PAN_PRD
30053,Veracruz,Cuitláhuac,PAN_PRD,PAN_PRD
30054,Veracruz,Chacaltianguis,PAN_PRD,PAN_PRD
30055,Veracruz,Chalma,PAN_PRD,PAN_PRD
30056,Veracruz,Chiconamel,PAN_PRD,PAN_PRD
30057,Veracruz,Chiconquiaco,PRI_PVEM,PRI_PVEM
30058,Veracruz,Chicontepec,PRI_PVEM,PRI_PVEM
30059,Veracruz,Chinameca,PNA,PNA
30060,Veracruz,Chinampa de Gorostiza,Morena,Morena
30061,Veracruz,Las Choapas,PT,PT
30062,Veracruz,Chocamán,PAN_PRD,PAN_PRD
30063,Veracruz,Chontla,PAN_PRD,PAN_PRD
30064,Veracruz,Chumatlán,PNA,PNA
30065,Veracruz,Emiliano Zapata,Morena,Morena
30066,Veracruz,Espinal,PAN_PRD,PAN_PRD
30067,Veracruz,Filomeno Mata,MC,MC
30068,Veracruz,Fortín,PAN_PRD,PAN_PRD
30069,Veracruz,Gutiérrez Zamora,MC,MC
30070,Veracruz,Hidalgotitlán,PNA,PNA
30071,Veracruz,Huatusco,PRI_PVEM,PRI_PVEM
30072,Veracruz,Huayacocotla,PAN_PRD,PAN_PRD
30073,Veracruz,Hueyapan de Ocampo,PNA,PNA
30074,Veracruz,Huiloapan de Cuauhtémoc,Morena,Morena
30075,Veracruz,Ignacio de la Llave,PRI_PVEM,PRI_PVEM
30076,Veracruz,Ilamatlán,MC,MC
30077,Veracruz,Isla,PAN_PRD,PAN_PRD
30078,Veracruz,Ixcatepec,PAN_PRD,PAN_PRD
30079,Veracruz,Ixhuacán de los Reyes,PAN_PRD,PAN_PRD
30080,Veracruz,Ixhuatlán del Café,PAN_PRD,PAN_PRD
30081,Veracruz,Ixhuatlancillo,PAN_PRD,PAN_PRD
30082,Veracruz,Ixhuatlán del Sureste,PAN_PRD,PAN_PRD
30083,Veracruz,Ixhuatlán de Madero,PAN_PRD,PAN_PRD
30084,Veracruz,Ixmatlahuacan,PAN_PRD,PAN_PRD
30085,Veracruz,Ixtaczoquitlán,PAN_PRD,PAN_PRD
30086,Veracruz,Jalacingo,PRI_PVEM,PRI_PVEM
30087,Veracruz,Xalapa,Morena,Morena
30088,Veracruz,Jalcomulco,MC,MC
30089,Veracruz,Jáltipan,Morena,Morena
30090,Veracruz,Jamapa,PAN_PRD,PAN_PRD
30091,Veracruz,Jesús Carranza,PAN_PRD,PAN_PRD
30092,Veracruz,Xico,PRI_PVEM,PRI_PVEM
30093,Veracruz,Jilotepec,PRI,PRI
30094,Veracruz,Juan Rodríguez Clara,PAN_PRD,PAN_PRD
30095,Veracruz,Juchique de Ferrer,PAN_PRD,PAN_PRD
30096,Veracruz,Landero y Coss,PAN_PRD,PAN_PRD
30097,Veracruz,Lerdo de Tejada,PAN_PRD,PAN_PRD
30098,Veracruz,Magdalena,PAN_PRD,PAN_PRD
30099,Veracruz,Maltrata,PNA,PNA
30100,Veracruz,Manlio Fabio Altamirano,MC,MC
30101,Veracruz,Mariano Escobedo,PAN_PRD,PAN_PRD
30102,Veracruz,Martínez de la Torre,PAN_PRD,PAN_PRD
30103,Veracruz,Mecatlán,PNA,PNA
30104,Veracruz,Mecayapan,PAN_PRD,PAN_PRD
30105,Veracruz,Medellín de Bravo,PAN_PRD,PAN_PRD
30106,Veracruz,Miahuatlán,PAN_PRD,PAN_PRD
30107,Veracruz,Las Minas,PRI_PVEM,PRI_PVEM
30108,Veracruz,Minatitlán,Morena,Morena
30109,Veracruz,Misantla,PAN_PRD,PAN_PRD
30110,Veracruz,Mixtla de Altamirano,Morena,Morena
30111,Veracruz,Moloacán,Morena,Morena
30112,Veracruz,Naolinco,PAN_PRD,PAN_PRD
30113,Veracruz,Naranjal,PRI_PVEM,PRI_PVEM
30114,Veracruz,Nautla,PAN_PRD,PAN_PRD
30115,Veracruz,Nogales,PRI_PVEM,PRI_PVEM
30116,Veracruz,Oluta,PAN_PRD,PAN_PRD
30117,Veracruz,Omealca,PRI_PVEM,PRI_PVEM
30118,Veracruz,Orizaba,PRI_PVEM,PRI_PVEM
30119,Veracruz,Otatitlán,PRI_PVEM,PRI_PVEM
30120,Veracruz,Oteapan,PES,PES
30121,Veracruz,Ozuluama de Mascareñas,PNA,PNA
30122,Veracruz,Pajapan,PNA,PNA
30123,Veracruz,Pánuco,PAN_PRD,PAN_PRD
30124,Veracruz,Papantla,PAN_PRD,PAN_PRD
30125,Veracruz,Paso del Macho,PAN_PRD,PAN_PRD
30126,Veracruz,Paso de Ovejas,PAN_PRD,PAN_PRD
30127,Veracruz,La Perla,PAN_PRD,PAN_PRD
